downloaded from http://massey.dur.ac.uk/drf/HD_He/He-HD.rate_coefficients
HD - He (Roueff, E. & Zeippen, C.J., 1999, A&A, 343, 1005)

       J       E(K)
   0.0    0.000D+00 8.490D-11 1.762D-11 1.085D-11 4.454D-12 1.995D-12 9.653D-13 4.542D-13 1.985D-13 1.103D-13
   1.0    2.368D-10 0.000D+00 1.250D-10 3.005D-11 1.617D-11 7.167D-12 3.147D-12 1.535D-12 6.724D-13 3.653D-13
   2.0    7.082D-11 1.802D-10 0.000D+00 1.308D-10 3.196D-11 1.561D-11 7.004D-12 3.117D-12 1.415D-12 7.457D-13
   3.0    4.915D-11 4.881D-11 1.474D-10 0.000D+00 1.281D-10 3.142D-11 1.392D-11 6.315D-12 2.707D-12 1.377D-12
   4.0    1.947D-11 2.534D-11 3.477D-11 1.237D-10 0.000D+00 1.216D-10 3.005D-11 1.230D-11 5.492D-12 2.571D-12
   5.0    7.474D-12 9.629D-12 1.456D-11 2.599D-11 1.043D-10 0.000D+00 1.135D-10 2.832D-11 1.097D-11 4.991D-12
   6.0    2.807D-12 3.281D-12 5.067D-12 8.935D-12 1.998D-11 8.806D-11 0.000D+00 1.041D-10 2.659D-11 1.026D-11
   7.0    9.391D-13 1.138D-12 1.604D-12 2.882D-12 5.819D-12 1.563D-11 7.405D-11 0.000D+00 9.687D-11 2.680D-11
   8.0    2.699D-13 3.279D-13 4.787D-13 8.127D-13 1.709D-12 3.983D-12 1.244D-11 6.371D-11 0.000D+00 9.249D-11
   9.0    9.190D-14 1.091D-13 1.546D-13 2.533D-13 4.900D-13 1.110D-12 2.940D-12 1.080D-11 5.666D-11 0.000D+00

   temperature cinetique=  1780.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.528D-11 1.769D-11 1.093D-11 4.503D-12 2.023D-12 9.830D-13 4.648D-13 2.039D-13 1.143D-13
   1.0    2.380D-10 0.000D+00 1.256D-10 3.023D-11 1.632D-11 7.264D-12 3.201D-12 1.569D-12 6.900D-13 3.780D-13
   2.0    7.126D-11 1.814D-10 0.000D+00 1.315D-10 3.221D-11 1.580D-11 7.113D-12 3.179D-12 1.449D-12 7.698D-13
   3.0    4.977D-11 4.931D-11 1.485D-10 0.000D+00 1.289D-10 3.170D-11 1.411D-11 6.426D-12 2.766D-12 1.418D-12
   4.0    1.985D-11 2.578D-11 3.524D-11 1.248D-10 0.000D+00 1.225D-10 3.035D-11 1.248D-11 5.599D-12 2.640D-12
   5.0    7.671D-12 9.870D-12 1.487D-11 2.641D-11 1.054D-10 0.000D+00 1.144D-10 2.864D-11 1.115D-11 5.108D-12
   6.0    2.907D-12 3.391D-12 5.220D-12 9.162D-12 2.036D-11 8.918D-11 0.000D+00 1.050D-10 2.693D-11 1.047D-11
   7.0    9.828D-13 1.189D-12 1.668D-12 2.984D-12 5.989D-12 1.597D-11 7.511D-11 0.000D+00 9.786D-11 2.724D-11
   8.0    2.853D-13 3.459D-13 5.031D-13 8.500D-13 1.777D-12 4.115D-12 1.274D-11 6.476D-11 0.000D+00 9.364D-11
   9.0    9.862D-14 1.169D-13 1.649D-13 2.688D-13 5.168D-13 1.162D-12 3.055D-12 1.112D-11 5.775D-11 0.000D+00

   temperature cinetique=  1800.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.565D-11 1.775D-11 1.101D-11 4.551D-12 2.051D-12 1.001D-12 4.755D-13 2.093D-13 1.183D-13
   1.0    2.393D-10 0.000D+00 1.262D-10 3.042D-11 1.648D-11 7.361D-12 3.255D-12 1.604D-12 7.076D-13 3.909D-13
   2.0    7.170D-11 1.825D-10 0.000D+00 1.322D-10 3.245D-11 1.598D-11 7.222D-12 3.242D-12 1.483D-12 7.944D-13
   3.0    5.038D-11 4.981D-11 1.497D-10 0.000D+00 1.297D-10 3.197D-11 1.429D-11 6.537D-12 2.824D-12 1.459D-12
   4.0    2.022D-11 2.621D-11 3.570D-11 1.260D-10 0.000D+00 1.233D-10 3.064D-11 1.266D-11 5.705D-12 2.709D-12
   5.0    7.870D-12 1.011D-11 1.518D-11 2.683D-11 1.065D-10 0.000D+00 1.153D-10 2.896D-11 1.133D-11 5.226D-12
   6.0    3.008D-12 3.503D-12 5.375D-12 9.390D-12 2.073D-11 9.029D-11 0.000D+00 1.060D-10 2.728D-11 1.068D-11
   7.0    1.027D-12 1.240D-12 1.734D-12 3.088D-12 6.160D-12 1.630D-11 7.617D-11 0.000D+00 9.885D-11 2.768D-11
   8.0    3.011D-13 3.644D-13 5.282D-13 8.882D-13 1.847D-12 4.248D-12 1.305D-11 6.581D-11 0.000D+00 9.479D-11
   9.0    1.057D-13 1.250D-13 1.757D-13 2.849D-13 5.446D-13 1.216D-12 3.173D-12 1.144D-11 5.885D-11 0.000D+00

   temperature cinetique=  1820.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.601D-11 1.782D-11 1.110D-11 4.599D-12 2.078D-12 1.019D-12 4.862D-13 2.148D-13 1.224D-13
   1.0    2.405D-10 0.000D+00 1.268D-10 3.060D-11 1.663D-11 7.457D-12 3.309D-12 1.638D-12 7.254D-13 4.040D-13
   2.0    7.213D-11 1.837D-10 0.000D+00 1.329D-10 3.269D-11 1.616D-11 7.331D-12 3.304D-12 1.518D-12 8.193D-13
   3.0    5.099D-11 5.030D-11 1.508D-10 0.000D+00 1.305D-10 3.224D-11 1.447D-11 6.648D-12 2.883D-12 1.501D-12
   4.0    2.059D-11 2.664D-11 3.616D-11 1.271D-10 0.000D+00 1.242D-10 3.094D-11 1.284D-11 5.811D-12 2.779D-12
   5.0    8.070D-12 1.036D-11 1.549D-11 2.724D-11 1.077D-10 0.000D+00 1.162D-10 2.928D-11 1.151D-11 5.345D-12
   6.0    3.111D-12 3.616D-12 5.531D-12 9.619D-12 2.111D-11 9.140D-11 0.000D+00 1.069D-10 2.762D-11 1.089D-11
   7.0    1.073D-12 1.293D-12 1.802D-12 3.193D-12 6.332D-12 1.664D-11 7.722D-11 0.000D+00 9.983D-11 2.812D-11
   8.0    3.175D-13 3.836D-13 5.541D-13 9.274D-13 1.918D-12 4.383D-12 1.336D-11 6.685D-11 0.000D+00 9.593D-11
   9.0    1.131D-13 1.335D-13 1.869D-13 3.017D-13 5.732D-13 1.272D-12 3.292D-12 1.177D-11 5.995D-11 0.000D+00

   temperature cinetique=  1840.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.637D-11 1.788D-11 1.118D-11 4.646D-12 2.106D-12 1.036D-12 4.970D-13 2.203D-13 1.266D-13
   1.0    2.417D-10 0.000D+00 1.274D-10 3.078D-11 1.679D-11 7.553D-12 3.363D-12 1.672D-12 7.434D-13 4.173D-13
   2.0    7.255D-11 1.848D-10 0.000D+00 1.336D-10 3.293D-11 1.633D-11 7.439D-12 3.367D-12 1.552D-12 8.446D-13
   3.0    5.160D-11 5.079D-11 1.520D-10 0.000D+00 1.312D-10 3.251D-11 1.465D-11 6.759D-12 2.943D-12 1.543D-12
   4.0    2.096D-11 2.707D-11 3.661D-11 1.282D-10 0.000D+00 1.250D-10 3.123D-11 1.302D-11 5.917D-12 2.849D-12
   5.0    8.270D-12 1.060D-11 1.581D-11 2.765D-11 1.088D-10 0.000D+00 1.171D-10 2.959D-11 1.169D-11 5.465D-12
   6.0    3.216D-12 3.730D-12 5.689D-12 9.849D-12 2.148D-11 9.250D-11 0.000D+00 1.078D-10 2.796D-11 1.110D-11
   7.0    1.120D-12 1.347D-12 1.870D-12 3.299D-12 6.506D-12 1.698D-11 7.827D-11 0.000D+00 1.008D-10 2.856D-11
   8.0    3.344D-13 4.033D-13 5.807D-13 9.675D-13 1.991D-12 4.519D-12 1.367D-11 6.789D-11 0.000D+00 9.707D-11
   9.0    1.209D-13 1.424D-13 1.987D-13 3.191D-13 6.028D-13 1.328D-12 3.413D-12 1.210D-11 6.104D-11 0.000D+00

   temperature cinetique=  1860.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.673D-11 1.794D-11 1.126D-11 4.693D-12 2.134D-12 1.054D-12 5.079D-13 2.259D-13 1.309D-13
   1.0    2.428D-10 0.000D+00 1.280D-10 3.096D-11 1.694D-11 7.648D-12 3.416D-12 1.707D-12 7.614D-13 4.309D-13
   2.0    7.296D-11 1.859D-10 0.000D+00 1.342D-10 3.317D-11 1.651D-11 7.547D-12 3.430D-12 1.587D-12 8.702D-13
   3.0    5.220D-11 5.127D-11 1.531D-10 0.000D+00 1.320D-10 3.278D-11 1.483D-11 6.869D-12 3.002D-12 1.586D-12
   4.0    2.133D-11 2.750D-11 3.707D-11 1.294D-10 0.000D+00 1.258D-10 3.152D-11 1.320D-11 6.024D-12 2.920D-12
   5.0    8.472D-12 1.085D-11 1.612D-11 2.807D-11 1.099D-10 0.000D+00 1.179D-10 2.990D-11 1.187D-11 5.585D-12
   6.0    3.322D-12 3.845D-12 5.848D-12 1.008D-11 2.186D-11 9.360D-11 0.000D+00 1.087D-10 2.829D-11 1.131D-11
   7.0    1.168D-12 1.402D-12 1.940D-12 3.407D-12 6.681D-12 1.732D-11 7.931D-11 0.000D+00 1.018D-10 2.901D-11
   8.0    3.519D-13 4.237D-13 6.080D-13 1.008D-12 2.065D-12 4.656D-12 1.399D-11 6.892D-11 0.000D+00 9.821D-11
   9.0    1.290D-13 1.517D-13 2.109D-13 3.371D-13 6.333D-13 1.386D-12 3.536D-12 1.243D-11 6.214D-11 0.000D+00

   temperature cinetique=  1880.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.709D-11 1.800D-11 1.133D-11 4.740D-12 2.161D-12 1.072D-12 5.187D-13 2.315D-13 1.352D-13
   1.0    2.440D-10 0.000D+00 1.286D-10 3.113D-11 1.709D-11 7.743D-12 3.470D-12 1.741D-12 7.796D-13 4.446D-13
   2.0    7.337D-11 1.870D-10 0.000D+00 1.349D-10 3.340D-11 1.669D-11 7.655D-12 3.493D-12 1.622D-12 8.961D-13
   3.0    5.279D-11 5.175D-11 1.542D-10 0.000D+00 1.327D-10 3.304D-11 1.501D-11 6.980D-12 3.062D-12 1.629D-12
   4.0    2.170D-11 2.793D-11 3.752D-11 1.305D-10 0.000D+00 1.266D-10 3.181D-11 1.338D-11 6.130D-12 2.992D-12
   5.0    8.674D-12 1.109D-11 1.643D-11 2.848D-11 1.110D-10 0.000D+00 1.188D-10 3.021D-11 1.205D-11 5.705D-12
   6.0    3.429D-12 3.962D-12 6.008D-12 1.031D-11 2.223D-11 9.469D-11 0.000D+00 1.095D-10 2.863D-11 1.152D-11
   7.0    1.217D-12 1.458D-12 2.011D-12 3.517D-12 6.857D-12 1.766D-11 8.034D-11 0.000D+00 1.027D-10 2.945D-11
   8.0    3.700D-13 4.446D-13 6.360D-13 1.050D-12 2.140D-12 4.796D-12 1.430D-11 6.995D-11 0.000D+00 9.934D-11
   9.0    1.375D-13 1.614D-13 2.236D-13 3.558D-13 6.647D-13 1.446D-12 3.662D-12 1.276D-11 6.324D-11 0.000D+00

   temperature cinetique=  1900.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.744D-11 1.806D-11 1.141D-11 4.786D-12 2.188D-12 1.089D-12 5.296D-13 2.372D-13 1.396D-13
   1.0    2.452D-10 0.000D+00 1.292D-10 3.130D-11 1.724D-11 7.838D-12 3.523D-12 1.776D-12 7.979D-13 4.585D-13
   2.0    7.378D-11 1.881D-10 0.000D+00 1.356D-10 3.363D-11 1.686D-11 7.762D-12 3.555D-12 1.658D-12 9.224D-13
   3.0    5.338D-11 5.222D-11 1.553D-10 0.000D+00 1.335D-10 3.331D-11 1.519D-11 7.091D-12 3.121D-12 1.673D-12
   4.0    2.207D-11 2.835D-11 3.796D-11 1.316D-10 0.000D+00 1.274D-10 3.209D-11 1.356D-11 6.237D-12 3.064D-12
   5.0    8.877D-12 1.134D-11 1.675D-11 2.888D-11 1.121D-10 0.000D+00 1.197D-10 3.051D-11 1.222D-11 5.827D-12
   6.0    3.537D-12 4.080D-12 6.170D-12 1.054D-11 2.260D-11 9.577D-11 0.000D+00 1.104D-10 2.896D-11 1.173D-11
   7.0    1.267D-12 1.516D-12 2.083D-12 3.627D-12 7.035D-12 1.800D-11 8.137D-11 0.000D+00 1.037D-10 2.988D-11
   8.0    3.885D-13 4.662D-13 6.648D-13 1.093D-12 2.216D-12 4.936D-12 1.461D-11 7.098D-11 0.000D+00 1.005D-10
   9.0    1.465D-13 1.715D-13 2.369D-13 3.752D-13 6.971D-13 1.507D-12 3.789D-12 1.310D-11 6.434D-11 0.000D+00

   temperature cinetique=  1920.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.779D-11 1.812D-11 1.149D-11 4.832D-12 2.215D-12 1.107D-12 5.406D-13 2.429D-13 1.441D-13
   1.0    2.463D-10 0.000D+00 1.297D-10 3.147D-11 1.739D-11 7.931D-12 3.577D-12 1.811D-12 8.163D-13 4.727D-13
   2.0    7.418D-11 1.892D-10 0.000D+00 1.362D-10 3.386D-11 1.704D-11 7.869D-12 3.618D-12 1.693D-12 9.490D-13
   3.0    5.397D-11 5.269D-11 1.563D-10 0.000D+00 1.342D-10 3.357D-11 1.537D-11 7.201D-12 3.181D-12 1.717D-12
   4.0    2.244D-11 2.877D-11 3.841D-11 1.327D-10 0.000D+00 1.282D-10 3.238D-11 1.373D-11 6.344D-12 3.137D-12
   5.0    9.080D-12 1.159D-11 1.706D-11 2.929D-11 1.132D-10 0.000D+00 1.205D-10 3.082D-11 1.240D-11 5.949D-12
   6.0    3.647D-12 4.199D-12 6.333D-12 1.078D-11 2.297D-11 9.684D-11 0.000D+00 1.113D-10 2.930D-11 1.194D-11
   7.0    1.318D-12 1.574D-12 2.156D-12 3.739D-12 7.214D-12 1.834D-11 8.239D-11 0.000D+00 1.046D-10 3.032D-11
   8.0    4.077D-13 4.884D-13 6.943D-13 1.137D-12 2.293D-12 5.078D-12 1.493D-11 7.201D-11 0.000D+00 1.016D-10
   9.0    1.558D-13 1.821D-13 2.507D-13 3.952D-13 7.304D-13 1.569D-12 3.919D-12 1.344D-11 6.543D-11 0.000D+00

   temperature cinetique=  1940.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.814D-11 1.818D-11 1.156D-11 4.878D-12 2.242D-12 1.125D-12 5.516D-13 2.486D-13 1.486D-13
   1.0    2.475D-10 0.000D+00 1.303D-10 3.164D-11 1.754D-11 8.025D-12 3.630D-12 1.846D-12 8.349D-13 4.870D-13
   2.0    7.457D-11 1.903D-10 0.000D+00 1.369D-10 3.408D-11 1.721D-11 7.975D-12 3.681D-12 1.729D-12 9.760D-13
   3.0    5.455D-11 5.315D-11 1.574D-10 0.000D+00 1.349D-10 3.382D-11 1.555D-11 7.311D-12 3.241D-12 1.762D-12
   4.0    2.280D-11 2.920D-11 3.885D-11 1.338D-10 0.000D+00 1.290D-10 3.266D-11 1.391D-11 6.451D-12 3.210D-12
   5.0    9.285D-12 1.183D-11 1.737D-11 2.969D-11 1.143D-10 0.000D+00 1.213D-10 3.112D-11 1.258D-11 6.071D-12
   6.0    3.758D-12 4.319D-12 6.497D-12 1.101D-11 2.334D-11 9.791D-11 0.000D+00 1.121D-10 2.963D-11 1.215D-11
   7.0    1.371D-12 1.634D-12 2.231D-12 3.852D-12 7.393D-12 1.868D-11 8.341D-11 0.000D+00 1.056D-10 3.076D-11
   8.0    4.274D-13 5.112D-13 7.245D-13 1.181D-12 2.372D-12 5.221D-12 1.524D-11 7.303D-11 0.000D+00 1.027D-10
   9.0    1.655D-13 1.932D-13 2.650D-13 4.159D-13 7.647D-13 1.633D-12 4.050D-12 1.378D-11 6.653D-11 0.000D+00

   temperature cinetique=  1960.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.848D-11 1.824D-11 1.164D-11 4.923D-12 2.269D-12 1.142D-12 5.626D-13 2.544D-13 1.532D-13
   1.0    2.486D-10 0.000D+00 1.308D-10 3.181D-11 1.768D-11 8.118D-12 3.683D-12 1.881D-12 8.535D-13 5.016D-13
   2.0    7.495D-11 1.914D-10 0.000D+00 1.375D-10 3.431D-11 1.738D-11 8.082D-12 3.744D-12 1.764D-12 1.003D-12
   3.0    5.513D-11 5.361D-11 1.585D-10 0.000D+00 1.357D-10 3.408D-11 1.572D-11 7.422D-12 3.301D-12 1.807D-12
   4.0    2.317D-11 2.962D-11 3.928D-11 1.348D-10 0.000D+00 1.298D-10 3.293D-11 1.408D-11 6.557D-12 3.284D-12
   5.0    9.489D-12 1.208D-11 1.769D-11 3.009D-11 1.153D-10 0.000D+00 1.222D-10 3.142D-11 1.275D-11 6.194D-12
   6.0    3.870D-12 4.440D-12 6.662D-12 1.125D-11 2.371D-11 9.896D-11 0.000D+00 1.130D-10 2.995D-11 1.236D-11
   7.0    1.424D-12 1.694D-12 2.306D-12 3.967D-12 7.574D-12 1.902D-11 8.442D-11 0.000D+00 1.065D-10 3.120D-11
   8.0    4.476D-13 5.346D-13 7.555D-13 1.227D-12 2.452D-12 5.366D-12 1.556D-11 7.404D-11 0.000D+00 1.038D-10
   9.0    1.756D-13 2.046D-13 2.798D-13 4.373D-13 7.999D-13 1.698D-12 4.183D-12 1.413D-11 6.762D-11 0.000D+00

   temperature cinetique=  1980.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.882D-11 1.829D-11 1.171D-11 4.968D-12 2.295D-12 1.160D-12 5.736D-13 2.602D-13 1.579D-13
   1.0    2.497D-10 0.000D+00 1.314D-10 3.197D-11 1.783D-11 8.210D-12 3.735D-12 1.916D-12 8.722D-13 5.163D-13
   2.0    7.533D-11 1.924D-10 0.000D+00 1.382D-10 3.453D-11 1.755D-11 8.188D-12 3.808D-12 1.800D-12 1.031D-12
   3.0    5.570D-11 5.407D-11 1.595D-10 0.000D+00 1.364D-10 3.433D-11 1.590D-11 7.532D-12 3.362D-12 1.852D-12
   4.0    2.353D-11 3.003D-11 3.972D-11 1.359D-10 0.000D+00 1.305D-10 3.321D-11 1.426D-11 6.664D-12 3.358D-12
   5.0    9.695D-12 1.233D-11 1.800D-11 3.049D-11 1.164D-10 0.000D+00 1.230D-10 3.172D-11 1.293D-11 6.318D-12
   6.0    3.983D-12 4.562D-12 6.828D-12 1.148D-11 2.407D-11 1.000D-10 0.000D+00 1.138D-10 3.028D-11 1.258D-11
   7.0    1.478D-12 1.756D-12 2.383D-12 4.082D-12 7.756D-12 1.935D-11 8.543D-11 0.000D+00 1.074D-10 3.164D-11
   8.0    4.685D-13 5.586D-13 7.871D-13 1.273D-12 2.533D-12 5.512D-12 1.588D-11 7.506D-11 0.000D+00 1.049D-10
   9.0    1.862D-13 2.166D-13 2.952D-13 4.594D-13 8.360D-13 1.764D-12 4.319D-12 1.448D-11 6.872D-11 0.000D+00

   temperature cinetique=  2000.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.915D-11 1.835D-11 1.179D-11 5.012D-12 2.322D-12 1.177D-12 5.847D-13 2.660D-13 1.626D-13
   1.0    2.508D-10 0.000D+00 1.319D-10 3.214D-11 1.797D-11 8.302D-12 3.788D-12 1.951D-12 8.911D-13 5.313D-13
   2.0    7.571D-11 1.935D-10 0.000D+00 1.388D-10 3.474D-11 1.772D-11 8.293D-12 3.871D-12 1.836D-12 1.059D-12
   3.0    5.627D-11 5.452D-11 1.606D-10 0.000D+00 1.371D-10 3.458D-11 1.607D-11 7.641D-12 3.422D-12 1.898D-12
   4.0    2.390D-11 3.045D-11 4.015D-11 1.369D-10 0.000D+00 1.313D-10 3.348D-11 1.443D-11 6.771D-12 3.433D-12
   5.0    9.900D-12 1.258D-11 1.831D-11 3.089D-11 1.174D-10 0.000D+00 1.238D-10 3.201D-11 1.310D-11 6.442D-12
   6.0    4.097D-12 4.685D-12 6.995D-12 1.172D-11 2.444D-11 1.011D-10 0.000D+00 1.147D-10 3.060D-11 1.279D-11
   7.0    1.534D-12 1.819D-12 2.460D-12 4.199D-12 7.939D-12 1.969D-11 8.643D-11 0.000D+00 1.083D-10 3.207D-11
   8.0    4.899D-13 5.832D-13 8.195D-13 1.320D-12 2.615D-12 5.659D-12 1.619D-11 7.607D-11 0.000D+00 1.060D-10
   9.0    1.972D-13 2.290D-13 3.112D-13 4.822D-13 8.731D-13 1.832D-12 4.456D-12 1.483D-11 6.982D-11 0.000D+00
